d_lam_mm,gap_mm,freq_hz,target_bn_t,bn_mean_lt0,p_side_lt0,p_side_lt2,dp_abs_w,dp_pct,bx_gapface_t,bx_mid_t
0.025000,2.000000,100000,0.100000,1.001347e-01,1.872151e+00,1.860023e+00,-1.212800e-02,-0.6478,2.488390e-08,5.531198e-03
0.025000,2.000000,100000,0.500000,5.006736e-01,4.680377e+01,4.650057e+01,-3.032000e-01,-0.6478,1.244199e-07,2.765599e-02
0.025000,2.000000,100000,1.000000,1.001347e+00,1.872151e+02,1.860023e+02,-1.212800e+00,-0.6478,2.488399e-07,5.531198e-02
0.025000,2.000000,200000,0.100000,1.001345e-01,6.641760e+00,6.639278e+00,-2.482000e-03,-0.0374,3.165138e-08,6.454555e-03
0.025000,2.000000,200000,0.500000,5.006724e-01,1.660440e+02,1.659819e+02,-6.210000e-02,-0.0374,1.582569e-07,3.227278e-02
0.025000,2.000000,200000,1.000000,1.001345e+00,6.641760e+02,6.639278e+02,-2.482000e-01,-0.0374,3.165138e-07,6.454555e-02
0.025000,3.000000,10000,0.100000,1.002017e-01,1.952564e-02,1.923052e-02,-2.951200e-04,-1.5114,1.022196e-07,3.762170e-03
0.025000,3.000000,10000,0.500000,5.010085e-01,4.881411e-01,4.807631e-01,-7.378000e-03,-1.5114,5.110979e-07,1.881085e-02
0.025000,3.000000,10000,1.000000,1.002017e+00,1.952564e+00,1.923052e+00,-2.951200e-02,-1.5114,1.022196e-06,3.762170e-02
0.025000,3.000000,30000,0.100000,1.002017e-01,1.750127e-01,1.725184e-01,-2.494300e-03,-1.4252,1.036797e-07,3.977214e-03
0.025000,3.000000,30000,0.500000,5.010084e-01,4.375316e+00,4.312961e+00,-6.235500e-02,-1.4252,5.183985e-07,1.988607e-02
0.025000,3.000000,30000,1.000000,1.002017e+00,1.750127e+01,1.725184e+01,-2.494300e-01,-1.4252,1.036797e-06,3.977214e-02
0.025000,3.000000,100000,0.100000,1.002016e-01,1.860612e+00,1.845531e+00,-1.508100e-02,-0.8105,1.169066e-07,5.245268e-03
0.025000,3.000000,100000,0.500000,5.010080e-01,4.651530e+01,4.613829e+01,-3.770100e-01,-0.8105,5.845348e-07,2.622634e-02
0.025000,3.000000,100000,1.000000,1.002016e+00,1.860612e+02,1.845531e+02,-1.508100e+00,-0.8105,1.169070e-06,5.245268e-02
0.025000,3.000000,200000,0.100000,1.002014e-01,6.600821e+00,6.589613e+00,-1.120800e-02,-0.1698,1.396545e-07,6.173702e-03
0.025000,3.000000,200000,0.500000,5.010068e-01,1.650205e+02,1.647403e+02,-2.802000e-01,-0.1698,6.982725e-07,3.086851e-02
0.025000,3.000000,200000,1.000000,1.002014e+00,6.600821e+02,6.589613e+02,-1.120800e+00,-0.1698,1.396545e-06,6.173702e-02
0.025000,4.000000,10000,0.100000,1.002779e-01,1.945583e-02,1.912890e-02,-3.269300e-04,-1.6804,4.345449e-06,3.662718e-03
