case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,y_mm,bx_abs_t,by_abs_t
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,36.578000,2.628427e-04,7.759989e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.004000,2.348739e-04,7.917265e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.430000,2.069052e-04,8.074542e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,37.856000,3.327316e-04,8.225865e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,38.282000,5.916552e-04,8.372036e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,38.708000,7.215379e-04,8.516267e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.134000,6.361085e-04,8.657264e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.560000,5.394331e-04,8.791382e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,39.986000,3.825357e-04,8.888661e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,40.412000,2.256384e-04,8.985941e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,40.838000,2.316919e-04,9.093655e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,41.264000,3.845151e-04,9.210768e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,41.690000,6.055470e-04,9.309715e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.116000,9.705828e-04,9.370311e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.542000,1.335619e-03,9.430906e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,42.968000,1.571806e-03,9.497401e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,43.394000,1.770122e-03,9.565630e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,43.820000,1.964894e-03,9.626884e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,44.246000,2.147791e-03,9.664759e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,44.672000,2.330688e-03,9.702633e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,45.098000,2.550159e-03,9.748157e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,45.524000,3.013262e-03,9.789533e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,45.950000,3.432456e-03,9.833736e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,46.376000,3.832964e-03,9.879183e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,46.802000,4.153513e-03,9.907077e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,47.228000,4.758646e-03,9.911465e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,47.654000,5.453110e-03,9.935138e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,48.080000,6.147574e-03,9.958811e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,48.506000,6.842038e-03,9.982485e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,48.932000,7.536501e-03,1.000616e-01
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,49.358000,8.230965e-03,1.002983e-01
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,49.784000,8.981921e-03,1.002238e-01
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,50.210000,9.785482e-03,9.985942e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,50.636000,1.058904e-02,9.949505e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,51.062000,1.190084e-02,9.911569e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,51.488000,1.323543e-02,9.873566e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,51.914000,1.457001e-02,9.835564e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,52.340000,1.590460e-02,9.797561e-02
