case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,bx_gapface_t,by_gapface_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w
B30026,LT0_OFF,4.000000,10000,0.500000,0.010000,0,0,2.629891e+02,5.013895e-01,1.815236e-02,4.940514e-01,2.172741e-05,3.300677e-01,7.452781e-06,4.682724e-01,1.150782e+01,1.557148e-01,7.786233e-02
B30027,LT0_OFF,4.000000,10000,1.000000,0.010000,0,0,5.259782e+02,1.002779e+00,3.630471e-02,9.881028e-01,4.345482e-05,6.601353e-01,7.452781e-06,4.682724e-01,4.603126e+01,6.228591e-01,3.114493e-01
B30028,LT0_OFF,4.000000,30000,0.100000,0.010000,0,0,5.259784e+01,1.002779e-01,3.630471e-03,9.881028e-02,4.345494e-06,6.601353e-02,7.452778e-06,1.404816e+00,9.796400e-01,5.605141e-02,2.802748e-02
B30029,LT0_OFF,4.000000,30000,0.500000,0.010000,0,0,2.629892e+02,5.013895e-01,1.815236e-02,4.940514e-01,2.172747e-05,3.300677e-01,7.452778e-06,1.404816e+00,2.449100e+01,1.401285e+00,7.006871e-01
B30030,LT0_OFF,4.000000,30000,1.000000,0.010000,0,0,5.259784e+02,1.002779e+00,3.630471e-02,9.881028e-01,4.345494e-05,6.601353e-01,7.452778e-06,1.404816e+00,9.796400e+01,5.605141e+00,2.802748e+00
B30031,LT0_OFF,4.000000,100000,0.100000,0.010000,0,0,5.259809e+01,1.002779e-01,3.630475e-03,9.881028e-02,4.345633e-06,6.601354e-02,7.452742e-06,4.682696e+00,6.880821e+00,6.220482e-01,3.110439e-01
B30032,LT0_OFF,4.000000,100000,0.500000,0.010000,0,0,2.629905e+02,5.013894e-01,1.815237e-02,4.940514e-01,2.172816e-05,3.300677e-01,7.452742e-06,4.682696e+00,1.720205e+02,1.555121e+01,7.776096e+00
B30033,LT0_OFF,4.000000,100000,1.000000,0.010000,0,0,5.259809e+02,1.002779e+00,3.630475e-02,9.881028e-01,4.345633e-05,6.601354e-01,7.452742e-06,4.682696e+00,6.880821e+02,6.220482e+01,3.110439e+01
B30034,LT0_OFF,4.000000,200000,0.100000,0.010000,0,0,5.259893e+01,1.002779e-01,3.630485e-03,9.881026e-02,4.346085e-06,6.601356e-02,7.452623e-06,9.365243e+00,2.625534e+01,2.478446e+00,1.239301e+00
B30035,LT0_OFF,4.000000,200000,0.500000,0.010000,0,0,2.629946e+02,5.013894e-01,1.815243e-02,4.940513e-01,2.173042e-05,3.300678e-01,7.452623e-06,9.365243e+00,6.563835e+02,6.196114e+01,3.098254e+01
