f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,20.069000,9.165020e-06,2.111331e-05,5.487832e-03,3.890248e-03,3.516997e-01,1.166236e-01
1000,0.100000,20.188000,9.655079e-06,2.063350e-05,6.073982e-03,4.169827e-03,3.568652e-01,1.168961e-01
1000,0.100000,20.307000,1.027297e-05,2.012273e-05,6.506544e-03,4.430567e-03,3.590383e-01,1.170835e-01
1000,0.100000,20.426000,1.054969e-05,1.957187e-05,4.802650e-03,4.656856e-03,3.569957e-01,1.172259e-01
1000,0.100000,20.545000,1.086747e-05,1.901012e-05,4.811454e-03,4.910103e-03,3.546070e-01,1.173515e-01
1000,0.100000,20.664000,1.070139e-05,1.841970e-05,5.144357e-03,5.145185e-03,3.527180e-01,1.174713e-01
1000,0.100000,20.783000,1.068903e-05,1.780049e-05,5.437387e-03,5.380828e-03,3.504810e-01,1.175614e-01
1000,0.100000,20.902000,1.110687e-05,1.716555e-05,5.663982e-03,5.632510e-03,3.475961e-01,1.176220e-01
1000,0.100000,21.021000,1.137586e-05,1.649285e-05,5.744351e-03,5.839256e-03,3.456293e-01,1.176608e-01
1000,0.100000,21.140000,1.179485e-05,1.578904e-05,5.868305e-03,6.031125e-03,3.442212e-01,1.176786e-01
1000,0.100000,21.259000,1.240376e-05,1.507278e-05,6.079495e-03,6.227455e-03,3.429960e-01,1.176853e-01
1000,0.100000,21.378000,1.302714e-05,1.436123e-05,6.293731e-03,6.427204e-03,3.417708e-01,1.176920e-01
1000,0.100000,21.497000,1.366303e-05,1.365511e-05,6.510712e-03,6.630062e-03,3.405457e-01,1.176987e-01
1000,0.100000,21.616000,1.389891e-05,1.294454e-05,6.695300e-03,6.799099e-03,3.392919e-01,1.177076e-01
1000,0.100000,21.735000,1.446316e-05,1.221293e-05,6.842199e-03,6.936472e-03,3.381940e-01,1.176950e-01
1000,0.100000,21.854000,1.523816e-05,1.148634e-05,6.980481e-03,7.067992e-03,3.371648e-01,1.176733e-01
1000,0.100000,21.973000,1.602032e-05,1.077909e-05,7.119925e-03,7.200902e-03,3.361356e-01,1.176515e-01
1000,0.100000,22.092000,1.680863e-05,1.009526e-05,7.260465e-03,7.335124e-03,3.351065e-01,1.176298e-01
1000,0.100000,22.211000,1.744432e-05,9.432829e-06,7.396457e-03,7.439168e-03,3.342300e-01,1.176109e-01
1000,0.100000,22.330000,1.802511e-05,8.801102e-06,7.520627e-03,7.521623e-03,3.333666e-01,1.175896e-01
1000,0.100000,22.449000,1.891517e-05,8.221576e-06,7.579427e-03,7.586580e-03,3.318748e-01,1.175356e-01
1000,0.100000,22.568000,1.980837e-05,7.710865e-06,7.638326e-03,7.651707e-03,3.303831e-01,1.174817e-01
1000,0.100000,22.687000,2.070431e-05,7.283458e-06,7.697322e-03,7.717000e-03,3.288914e-01,1.174279e-01
1000,0.100000,22.806000,2.160265e-05,6.954731e-06,7.756412e-03,7.782455e-03,3.273999e-01,1.173743e-01
1000,0.100000,22.925000,2.176305e-05,6.685445e-06,7.725632e-03,7.813553e-03,3.265352e-01,1.173444e-01
1000,0.100000,23.044000,2.225483e-05,6.556017e-06,7.702252e-03,7.818908e-03,3.255955e-01,1.173170e-01
1000,0.100000,23.163000,2.315045e-05,6.585603e-06,7.698141e-03,7.805746e-03,3.245022e-01,1.172887e-01
1000,0.100000,23.282000,2.404792e-05,6.747358e-06,7.694485e-03,7.792970e-03,3.234091e-01,1.172604e-01
1000,0.100000,23.401000,2.494705e-05,7.032167e-06,7.691284e-03,7.780581e-03,3.223159e-01,1.172322e-01
1000,0.100000,23.520000,2.584766e-05,7.425885e-06,7.688539e-03,7.768581e-03,3.212227e-01,1.172041e-01
