case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx,grid_n
B40028,LT0_OFF,3.500000,30000,1.000000,0.025000,0,0,4.754541e+02,1.002392e+00,3.540429e-02,9.845079e-01,8.244750e-06,1.554099e+00,1.081564e+02,3.493960e+01,1.746824e+01,0.02075281,120
B40029,LT0_OFF,3.500000,100000,0.500000,0.025000,0,0,2.377732e+02,5.011957e-01,1.770269e-02,4.922532e-01,8.243150e-06,5.179325e+00,2.148317e+02,9.286333e+01,4.642752e+01,0.02075256,120
B40030,LT0_OFF,3.500000,100000,1.000000,0.025000,0,0,4.755463e+02,1.002391e+00,3.540537e-02,9.845064e-01,8.243150e-06,5.179325e+00,8.593268e+02,3.714533e+02,1.857101e+02,0.02075256,120
B40031,LT0_OFF,3.500000,200000,0.500000,0.025000,0,0,2.378909e+02,5.011945e-01,1.770407e-02,4.922513e-01,8.239069e-06,1.035352e+01,7.952634e+02,3.294476e+02,1.647091e+02,0.02075192,120
B40032,LT0_OFF,3.500000,200000,1.000000,0.025000,0,0,4.757819e+02,1.002389e+00,3.540813e-02,9.845025e-01,8.239069e-06,1.035352e+01,3.181054e+03,1.317790e+03,6.588364e+02,0.02075192,120
B40033,LT0_OFF,4.000000,10000,0.500000,0.025000,0,0,2.629896e+02,5.013895e-01,1.815236e-02,4.940514e-01,7.452766e-06,4.682715e-01,1.225493e+01,9.727296e-01,4.863957e-01,0.02193680,120
B40034,LT0_OFF,4.000000,10000,1.000000,0.025000,0,0,5.259792e+02,1.002779e+00,3.630472e-02,9.881028e-01,7.452766e-06,4.682715e-01,4.901972e+01,3.890918e+00,1.945583e+00,0.02193680,120
B40035,LT0_OFF,4.000000,30000,0.500000,0.025000,0,0,2.629940e+02,5.013894e-01,1.815242e-02,4.940513e-01,7.452642e-06,1.404790e+00,3.118240e+01,8.718790e+00,4.359672e+00,0.02193677,120
B40036,LT0_OFF,4.000000,30000,1.000000,0.025000,0,0,5.259880e+02,1.002779e+00,3.630484e-02,9.881027e-01,7.452642e-06,1.404790e+00,1.247296e+02,3.487516e+01,1.743869e+01,0.02193677,120
B40037,LT0_OFF,4.000000,100000,0.500000,0.025000,0,0,2.630402e+02,5.013889e-01,1.815302e-02,4.940505e-01,7.451333e-06,4.681812e+00,2.425560e+02,9.269206e+01,4.634897e+01,0.02193651,120
B40038,LT0_OFF,4.000000,100000,1.000000,0.025000,0,0,5.260803e+02,1.002778e+00,3.630604e-02,9.881010e-01,7.451333e-06,4.681812e+00,9.702240e+02,3.707682e+02,1.853959e+02,0.02193651,120
B40039,LT0_OFF,4.000000,200000,0.500000,0.025000,0,0,2.631581e+02,5.013878e-01,1.815455e-02,4.940483e-01,7.447995e-06,9.359427e+00,9.003581e+02,3.288399e+02,1.644304e+02,0.02193585,120
B40040,LT0_OFF,4.000000,200000,1.000000,0.025000,0,0,5.263162e+02,1.002776e+00,3.630910e-02,9.880966e-01,7.447995e-06,9.359427e+00,3.601432e+03,1.315360e+03,6.577215e+02,0.02193585,120
B40041,LT0_OFF,5.000000,10000,0.500000,0.025000,0,0,3.091591e+02,5.017632e-01,1.552971e-02,4.935378e-01,6.339778e-06,3.983405e-01,1.656304e+01,9.706740e-01,4.853642e-01,0.02401961,120
B40042,LT0_OFF,5.000000,10000,1.000000,0.025000,0,0,6.183182e+02,1.003526e+00,3.105942e-02,9.870755e-01,6.339778e-06,3.983405e-01,6.625215e+01,3.882696e+00,1.941457e+00,0.02401961,120
B40043,LT0_OFF,5.000000,30000,0.500000,0.025000,0,0,3.091635e+02,5.017631e-01,1.552977e-02,4.935377e-01,6.339688e-06,1.195003e+00,3.975230e+01,8.700365e+00,4.350426e+00,0.02401959,120
B40044,LT0_OFF,5.000000,30000,1.000000,0.025000,0,0,6.183269e+02,1.003526e+00,3.105954e-02,9.870754e-01,6.339688e-06,1.195003e+00,1.590092e+02,3.480146e+01,1.740170e+01,0.02401959,120
B40045,LT0_OFF,5.000000,100000,0.500000,0.025000,0,0,3.092098e+02,5.017627e-01,1.553040e-02,4.935369e-01,6.338739e-06,3.982748e+00,2.995435e+02,9.249616e+01,4.625067e+01,0.02401931,120
B40046,LT0_OFF,5.000000,100000,1.000000,0.025000,0,0,6.184195e+02,1.003525e+00,3.106081e-02,9.870737e-01,6.338739e-06,3.982748e+00,1.198174e+03,3.699847e+02,1.850027e+02,0.02401931,120
B40047,LT0_OFF,5.000000,200000,0.500000,0.025000,0,0,3.093279e+02,5.017615e-01,1.553203e-02,4.935347e-01,6.336317e-06,7.962452e+00,1.116218e+03,3.281448e+02,1.640816e+02,0.02401861,120
B40048,LT0_OFF,5.000000,200000,1.000000,0.025000,0,0,6.186559e+02,1.003523e+00,3.106405e-02,9.870695e-01,6.336317e-06,7.962452e+00,4.464872e+03,1.312579e+03,6.563264e+02,0.02401861,120
B40049,LT0_OFF,6.000000,10000,0.500000,0.025000,0,0,3.508929e+02,5.020455e-01,1.641534e-02,4.924573e-01,5.585749e-06,3.509635e-01,2.104008e+01,9.694334e-01,4.846586e-01,0.02551268,120
B40050,LT0_OFF,6.000000,10000,1.000000,0.025000,0,0,7.017859e+02,1.004091e+00,3.283068e-02,9.849147e-01,5.585749e-06,3.509635e-01,8.416032e+01,3.877734e+00,1.938634e+00,0.02551268,120
B40051,LT0_OFF,6.000000,30000,0.500000,0.025000,0,0,3.508973e+02,5.020455e-01,1.641539e-02,4.924573e-01,5.585679e-06,1.052876e+00,4.854983e+01,8.689245e+00,4.344101e+00,0.02551265,120
B40052,LT0_OFF,6.000000,30000,1.000000,0.025000,0,0,7.017947e+02,1.004091e+00,3.283079e-02,9.849145e-01,5.585679e-06,1.052876e+00,1.941993e+02,3.475698e+01,1.737641e+01,0.02551265,120
B40053,LT0_OFF,6.000000,100000,0.500000,0.025000,0,0,3.509437e+02,5.020450e-01,1.641598e-02,4.924564e-01,5.584941e-06,3.509123e+00,3.574273e+02,9.237794e+01,4.618343e+01,0.02551238,120
B40054,LT0_OFF,6.000000,100000,1.000000,0.025000,0,0,7.018874e+02,1.004090e+00,3.283196e-02,9.849128e-01,5.584941e-06,3.509123e+00,1.429709e+03,3.695118e+02,1.847337e+02,0.02551238,120
B40055,LT0_OFF,6.000000,200000,0.500000,0.025000,0,0,3.510621e+02,5.020438e-01,1.641748e-02,4.924542e-01,5.583057e-06,7.015877e+00,1.335185e+03,3.277253e+02,1.638430e+02,0.02551168,120
B40056,LT0_OFF,6.000000,200000,1.000000,0.025000,0,0,7.021243e+02,1.004088e+00,3.283495e-02,9.849085e-01,5.583057e-06,7.015877e+00,5.340742e+03,1.310901e+03,6.553720e+02,0.02551168,120
B40057,LT2_ON,2.000000,10000,0.500000,0.025000,2,1,1.526528e+02,5.006741e-01,2.039794e-02,4.950713e-01,1.283959e-05,8.067357e-01,4.731079e+00,9.693403e-01,4.846776e-01,0.01729544,120
B40058,LT2_ON,2.000000,10000,1.000000,0.025000,2,1,3.053056e+02,1.001348e+00,4.079588e-02,9.901425e-01,1.283959e-05,8.067357e-01,1.892432e+01,3.877361e+00,1.938710e+00,0.01729544,120
B40059,LT2_ON,2.000000,30000,0.500000,0.025000,2,1,1.526554e+02,5.006741e-01,2.144028e-02,4.948907e-01,1.283938e-05,2.420166e+00,1.590459e+01,8.695729e+00,4.347933e+00,0.01738847,120
B40060,LT2_ON,2.000000,30000,1.000000,0.025000,2,1,3.053108e+02,1.001348e+00,4.288055e-02,9.897814e-01,1.283938e-05,2.420166e+00,6.361838e+01,3.478292e+01,1.739173e+01,0.01738847,120
B40061,LT2_ON,2.000000,100000,0.500000,0.025000,2,1,1.526827e+02,5.006745e-01,2.765599e-02,4.929846e-01,1.283708e-05,8.065775e+00,1.392990e+02,9.299934e+01,4.650057e+01,0.01774975,120
B40062,LT2_ON,2.000000,100000,1.000000,0.025000,2,1,3.053654e+02,1.001349e+00,5.531198e-02,9.859693e-01,1.283708e-05,8.065775e+00,5.571959e+02,3.719974e+02,1.860023e+02,0.01774975,120
B40063,LT2_ON,2.000000,200000,0.500000,0.025000,2,1,1.527541e+02,5.006754e-01,3.227278e-02,4.897012e-01,1.283108e-05,1.612401e+01,5.090295e+02,3.319565e+02,1.659819e+02,0.01770448,120
