case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0029,LT0_OFF,2.000000,30000,1.000000,0,0,3.053120e+02,1.001348e+00,4.051318e-02,9.901873e-01,1.283932e-05,2.420156e+00,5.901152e+01,2.984758e+01,1.492436e+01,0.000000e+00
C0030,LT0_OFF,2.000000,30000,1.300000,0,0,3.969056e+02,1.301753e+00,5.266713e-02,1.287244e+00,1.283932e-05,2.420156e+00,9.972946e+01,5.044242e+01,2.522217e+01,0.000000e+00
C0031,LT0_OFF,2.500000,30000,0.100000,0,0,3.657483e+01,1.001692e-01,4.007792e-03,9.871922e-02,1.071775e-05,2.020249e+00,7.265766e-01,2.974543e-01,1.487141e-01,0.000000e+00
C0032,LT0_OFF,2.500000,30000,0.200000,0,0,7.314966e+01,2.003385e-01,8.015583e-03,1.974384e-01,1.071775e-05,2.020249e+00,2.906306e+00,1.189817e+00,5.948562e-01,0.000000e+00
C0033,LT0_OFF,2.500000,30000,0.400000,0,0,1.462993e+02,4.006769e-01,1.603117e-02,3.948769e-01,1.071775e-05,2.020249e+00,1.162523e+01,4.759268e+00,2.379425e+00,0.000000e+00
C0034,LT0_OFF,2.500000,30000,0.800000,0,0,2.925986e+02,8.013538e-01,3.206233e-02,7.897537e-01,1.071775e-05,2.020249e+00,4.650090e+01,1.903707e+01,9.517700e+00,0.000000e+00
C0035,LT0_OFF,2.500000,30000,1.000000,0,0,3.657483e+02,1.001692e+00,4.007792e-02,9.871922e-01,1.071775e-05,2.020249e+00,7.265766e+01,2.974543e+01,1.487141e+01,0.000000e+00
C0036,LT0_OFF,2.500000,30000,1.300000,0,0,4.754728e+02,1.302200e+00,5.210129e-02,1.283350e+00,1.071775e-05,2.020249e+00,1.227914e+02,5.026977e+01,2.513268e+01,0.000000e+00
C0037,LT0_OFF,3.000000,30000,0.100000,0,0,4.222475e+01,1.002017e-01,3.732938e-03,9.858618e-02,9.283654e-06,1.749928e+00,8.751471e-01,2.967084e-01,1.483238e-01,0.000000e+00
C0038,LT0_OFF,3.000000,30000,0.200000,0,0,8.444950e+01,2.004034e-01,7.465876e-03,1.971724e-01,9.283654e-06,1.749928e+00,3.500588e+00,1.186833e+00,5.932951e-01,0.000000e+00
C0039,LT0_OFF,3.000000,30000,0.400000,0,0,1.688990e+02,4.008067e-01,1.493175e-02,3.943447e-01,9.283654e-06,1.749928e+00,1.400235e+01,4.747334e+00,2.373181e+00,0.000000e+00
C0040,LT0_OFF,3.000000,30000,0.800000,0,0,3.377980e+02,8.016135e-01,2.986351e-02,7.886895e-01,9.283654e-06,1.749928e+00,5.600942e+01,1.898934e+01,9.492722e+00,0.000000e+00
C0041,LT0_OFF,3.000000,30000,1.000000,0,0,4.222475e+02,1.002017e+00,3.732938e-02,9.858618e-01,9.283654e-06,1.749928e+00,8.751471e+01,2.967084e+01,1.483238e+01,0.000000e+00
C0042,LT0_OFF,3.000000,30000,1.300000,0,0,5.489218e+02,1.302622e+00,4.852820e-02,1.281620e+00,9.283654e-06,1.749928e+00,1.478999e+02,5.014371e+01,2.506672e+01,0.000000e+00
C0043,LT0_OFF,4.000000,30000,0.100000,0,0,5.259852e+01,1.002779e-01,3.630480e-03,9.881027e-02,7.452681e-06,1.404798e+00,1.198662e+00,2.955681e-01,1.477934e-01,0.000000e+00
C0044,LT0_OFF,4.000000,30000,0.200000,0,0,1.051970e+02,2.005558e-01,7.260960e-03,1.976205e-01,7.452681e-06,1.404798e+00,4.794647e+00,1.182272e+00,5.911737e-01,0.000000e+00
C0045,LT0_OFF,4.000000,30000,0.400000,0,0,2.103941e+02,4.011115e-01,1.452192e-02,3.952411e-01,7.452681e-06,1.404798e+00,1.917859e+01,4.729090e+00,2.364695e+00,0.000000e+00
C0046,LT0_OFF,4.000000,30000,0.800000,0,0,4.207882e+02,8.022231e-01,2.904384e-02,7.904822e-01,7.452681e-06,1.404798e+00,7.671435e+01,1.891636e+01,9.458780e+00,0.000000e+00
C0047,LT0_OFF,4.000000,30000,1.000000,0,0,5.259852e+02,1.002779e+00,3.630480e-02,9.881027e-01,7.452681e-06,1.404798e+00,1.198662e+02,2.955681e+01,1.477934e+01,0.000000e+00
C0048,LT0_OFF,4.000000,30000,1.300000,0,0,6.837807e+02,1.303613e+00,4.719624e-02,1.284534e+00,7.452681e-06,1.404798e+00,2.025738e+02,4.995101e+01,2.497709e+01,0.000000e+00
C0049,LT0_OFF,2.000000,100000,0.100000,0,0,3.053795e+01,1.001347e-01,4.051393e-03,9.901862e-02,1.283649e-05,8.065404e+00,5.113324e+00,3.211476e+00,1.605799e+00,0.000000e+00
C0050,LT0_OFF,2.000000,100000,0.200000,0,0,6.107589e+01,2.002695e-01,8.102786e-03,1.980372e-01,1.283649e-05,8.065404e+00,2.045330e+01,1.284590e+01,6.423197e+00,0.000000e+00
C0051,LT0_OFF,2.000000,100000,0.400000,0,0,1.221518e+02,4.005390e-01,1.620557e-02,3.960745e-01,1.283649e-05,8.065404e+00,8.181319e+01,5.138361e+01,2.569279e+01,0.000000e+00
