case_id,mode,gap_mm,freq_hz,target_bn_t,y_mm,bx_abs_t,by_abs_t
C0001,LT0_OFF,2.000000,10000,0.100000,22.378000,2.794074e-03,8.668575e-05
C0001,LT0_OFF,2.000000,10000,0.100000,22.520000,2.837391e-03,7.634754e-05
C0001,LT0_OFF,2.000000,10000,0.100000,22.662000,2.880708e-03,6.600935e-05
C0001,LT0_OFF,2.000000,10000,0.100000,22.804000,2.918587e-03,9.606269e-02
C0001,LT0_OFF,2.000000,10000,0.100000,22.946000,2.951466e-03,9.617835e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.088000,2.983959e-03,9.629898e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.230000,3.015674e-03,9.642963e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.372000,3.048378e-03,9.656075e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.514000,3.087003e-03,9.669467e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.656000,3.125628e-03,9.682859e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.798000,3.170207e-03,9.694436e-02
C0001,LT0_OFF,2.000000,10000,0.100000,23.940000,3.217348e-03,9.706454e-02
C0001,LT0_OFF,2.000000,10000,0.100000,24.082000,3.269277e-03,9.716886e-02
C0001,LT0_OFF,2.000000,10000,0.100000,24.224000,3.321998e-03,2.938846e-05
C0001,LT0_OFF,2.000000,10000,0.100000,24.366000,3.381466e-03,4.474728e-05
C0001,LT0_OFF,2.000000,10000,0.100000,24.508000,3.453933e-03,6.019481e-05
C0001,LT0_OFF,2.000000,10000,0.100000,24.650000,3.526400e-03,7.564245e-05
C0001,LT0_OFF,2.000000,10000,0.100000,24.792000,3.616720e-03,8.579203e-05
C0001,LT0_OFF,2.000000,10000,0.100000,24.934000,3.709479e-03,9.521792e-05
C0001,LT0_OFF,2.000000,10000,0.100000,25.076000,3.812310e-03,9.792399e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.218000,3.921188e-03,9.805134e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.360000,4.039511e-03,9.817842e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.502000,4.173929e-03,9.830504e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.644000,4.309737e-03,9.843039e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.786000,4.456266e-03,9.854603e-02
C0001,LT0_OFF,2.000000,10000,0.100000,25.928000,4.604877e-03,9.863894e-02
C0001,LT0_OFF,2.000000,10000,0.100000,26.070000,4.769737e-03,9.871941e-02
C0001,LT0_OFF,2.000000,10000,0.100000,26.212000,4.942503e-03,1.250122e-04
C0001,LT0_OFF,2.000000,10000,0.100000,26.354000,5.124006e-03,9.886703e-02
C0001,LT0_OFF,2.000000,10000,0.100000,26.496000,5.318201e-03,9.893249e-02
C0001,LT0_OFF,2.000000,10000,0.100000,26.638000,5.510897e-03,1.097681e-04
C0001,LT0_OFF,2.000000,10000,0.100000,26.780000,5.688194e-03,1.156079e-04
C0001,LT0_OFF,2.000000,10000,0.100000,26.922000,5.883844e-03,9.910133e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.064000,6.116116e-03,9.915444e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.206000,6.318115e-03,9.920374e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.348000,6.539950e-03,9.920073e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.490000,6.764670e-03,9.918551e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.632000,6.986454e-03,9.917167e-02
C0001,LT0_OFF,2.000000,10000,0.100000,27.774000,7.201934e-03,1.421579e-04
C0001,LT0_OFF,2.000000,10000,0.100000,27.916000,7.405938e-03,9.915110e-02
C0001,LT0_OFF,2.000000,10000,0.100000,28.058000,7.603533e-03,1.599021e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.200000,7.826234e-03,1.755557e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.342000,8.047892e-03,2.104668e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.484000,8.269550e-03,2.453779e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.626000,8.477122e-03,2.731367e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.768000,8.681600e-03,2.993239e-04
C0001,LT0_OFF,2.000000,10000,0.100000,28.910000,8.895851e-03,3.281724e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.052000,9.117632e-03,3.590711e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.194000,9.340523e-03,3.938213e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.336000,9.565887e-03,4.371497e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.478000,9.791250e-03,4.804781e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.620000,1.001661e-02,5.238066e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.762000,1.024198e-02,5.671350e-04
C0001,LT0_OFF,2.000000,10000,0.100000,29.904000,1.051628e-02,9.882093e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.046000,1.080283e-02,9.883971e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.188000,1.108937e-02,9.885850e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.330000,1.137592e-02,9.887729e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.472000,1.170194e-02,9.895161e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.614000,1.212469e-02,9.916200e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.756000,1.254743e-02,9.937239e-02
C0001,LT0_OFF,2.000000,10000,0.100000,30.898000,1.297018e-02,9.958278e-02
C0001,LT0_OFF,2.000000,10000,0.100000,31.040000,1.339292e-02,9.979317e-02
C0001,LT0_OFF,2.000000,10000,0.100000,31.182000,1.381567e-02,1.000036e-01
C0001,LT0_OFF,2.000000,10000,0.100000,31.324000,1.423841e-02,1.002140e-01
C0001,LT0_OFF,2.000000,10000,0.100000,31.466000,1.466116e-02,1.004243e-01
C0001,LT0_OFF,2.000000,10000,0.100000,31.608000,1.508390e-02,1.006347e-01
C0001,LT0_OFF,2.000000,10000,0.100000,31.750000,1.557748e-02,1.009354e-01
C0001,LT0_OFF,2.000000,10000,0.100000,31.892000,1.626270e-02,1.014801e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.034000,1.694791e-02,1.020248e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.176000,1.763313e-02,1.025696e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.318000,1.831835e-02,1.031143e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.460000,1.940632e-02,1.040133e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.602000,2.062156e-02,1.050241e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.744000,2.183680e-02,1.060350e-01
C0001,LT0_OFF,2.000000,10000,0.100000,32.886000,2.305204e-02,1.070458e-01
C0001,LT0_OFF,2.000000,10000,0.100000,33.028000,2.446882e-02,2.923896e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.170000,2.649059e-02,3.579124e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.312000,2.851235e-02,4.234353e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.454000,3.160580e-02,5.109082e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.596000,3.470475e-02,5.984938e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.738000,4.048131e-02,6.564178e-03
C0001,LT0_OFF,2.000000,10000,0.100000,33.880000,4.719916e-02,7.039145e-03
C0001,LT0_OFF,2.000000,10000,0.100000,34.022000,5.809010e-02,8.388473e-03
C0001,LT0_OFF,2.000000,10000,0.100000,34.164000,8.198759e-02,1.503529e-02
C0001,LT0_OFF,2.000000,10000,0.100000,34.306000,1.316897e-01,9.360472e-02
C0001,LT0_OFF,2.000000,10000,0.100000,34.448000,3.440355e-02,8.516947e-02
C0001,LT0_OFF,2.000000,10000,0.100000,34.590000,2.363980e-02,7.449054e-02
C0001,LT0_OFF,2.000000,10000,0.100000,34.732000,1.782220e-02,7.039969e-02
C0001,LT0_OFF,2.000000,10000,0.100000,34.874000,1.255451e-02,6.715914e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.016000,8.023818e-03,6.505823e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.158000,4.176974e-03,6.403014e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.300000,6.045205e-04,6.343251e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.442000,3.583472e-03,6.384157e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.584000,7.649629e-03,6.459597e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.726000,1.141214e-02,6.621103e-02
C0001,LT0_OFF,2.000000,10000,0.100000,35.868000,1.650560e-02,6.900079e-02
C0001,LT0_OFF,2.000000,10000,0.100000,36.010000,2.377646e-02,7.398352e-02
C0001,LT0_OFF,2.000000,10000,0.100000,36.152000,3.494278e-02,8.468686e-02
C0001,LT0_OFF,2.000000,10000,0.100000,36.294000,1.375372e-01,9.503371e-02
C0001,LT0_OFF,2.000000,10000,0.100000,36.436000,8.298770e-02,1.608027e-01
C0001,LT0_OFF,2.000000,10000,0.100000,36.578000,5.885422e-02,1.407757e-01
C0001,LT0_OFF,2.000000,10000,0.100000,36.720000,4.764722e-02,1.309197e-01
C0001,LT0_OFF,2.000000,10000,0.100000,36.862000,4.046738e-02,1.245582e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.004000,3.448491e-02,1.190123e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.146000,3.111355e-02,1.152454e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.288000,2.786467e-02,1.116398e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.430000,2.590853e-02,1.097384e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.572000,2.395239e-02,1.078370e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.714000,2.266961e-02,1.066819e-01
