mode,gap_mm,target_bn_t,alpha_core,alpha_side,r2_core,r2_side,n
LT2_OFF,2.500000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.500000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.500000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,2.500000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,3.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,0.100000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,0.200000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,0.400000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,0.800000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,1.000000,1.961832,1.961832,0.999857,0.999857,4
LT2_OFF,4.000000,1.300000,1.961832,1.961832,0.999857,0.999857,4
LT2_ON,2.000000,0.100000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,2.000000,0.200000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,2.000000,0.400000,1.965588,1.965591,0.999875,0.999875,4
LT2_ON,2.000000,0.800000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,2.000000,1.000000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,2.000000,1.300000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,2.500000,0.100000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,2.500000,0.200000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,2.500000,0.400000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,2.500000,0.800000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,2.500000,1.000000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,2.500000,1.300000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,3.000000,0.100000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,3.000000,0.200000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,3.000000,0.400000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,3.000000,0.800000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,3.000000,1.000000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,3.000000,1.300000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,4.000000,0.100000,1.965947,1.965932,0.999876,0.999876,4
LT2_ON,4.000000,0.200000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,4.000000,0.400000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,4.000000,0.800000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,4.000000,1.000000,1.965947,1.965932,0.999876,0.999876,4
LT2_ON,4.000000,1.300000,1.965946,1.965932,0.999876,0.999876,4
