case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx_grid,grid_n,px_bessel_w,py_tanh_w,f_bx_mesh
B50055,LT2_ON,6.000000,200000,0.500000,0.025000,2,1,3.509971e+02,5.020467e-01,2.974240e-02,4.835500e-01,5.584091e-06,7.017177e+00,1.332894e+03,3.261460e+02,1.630605e+02,0.02522189,120,2.07391762e+00,1.60986610e+02,0.03037650
B50056,LT2_ON,6.000000,200000,1.000000,0.025000,2,1,7.019943e+02,1.004093e+00,5.948480e-02,9.671000e-01,5.584091e-06,7.017177e+00,5.331576e+03,1.304584e+03,6.522421e+02,0.02522189,120,8.29567047e+00,6.43946438e+02,0.03037650
B50001,LT2_ON,2.000000,10000,0.300000,0.025000,2,1,9.159169e+01,3.004045e-01,1.223876e-02,2.970428e-01,1.283959e-05,8.067357e-01,1.703189e+00,3.489625e-01,1.744839e-01,0.01729544,120,1.41472088e-03,1.73069206e-01,0.02132680
B50004,LT2_ON,2.000000,10000,1.300000,0.025000,2,1,3.968973e+02,1.301753e+00,5.303464e-02,1.287185e+00,1.283959e-05,8.067357e-01,3.198210e+01,6.552740e+00,3.276420e+00,0.01729544,120,2.65653142e-02,3.24985509e+00,0.02132680
B50005,LT2_ON,2.000000,30000,0.300000,0.025000,2,1,9.159324e+01,3.004045e-01,1.286417e-02,2.969344e-01,1.283938e-05,2.420166e+00,5.725654e+00,3.130462e+00,1.565256e+00,0.01738847,120,1.27491461e-02,1.55250686e+00,0.02137250
B50008,LT2_ON,2.000000,30000,1.300000,0.025000,2,1,3.969040e+02,1.301753e+00,5.574472e-02,1.286716e+00,1.283938e-05,2.420166e+00,1.075151e+02,5.878313e+01,2.939203e+01,0.01738847,120,2.39400632e-01,2.91526288e+01,0.02137250
B50009,LT2_ON,2.000000,100000,0.300000,0.025000,2,1,9.160963e+01,3.004047e-01,1.659360e-02,2.957908e-01,1.283708e-05,8.065775e+00,5.014763e+01,3.347976e+01,1.674020e+01,0.01774975,120,1.39688904e-01,1.66005158e+01,0.02135021
B50012,LT2_ON,2.000000,100000,1.300000,0.025000,2,1,3.969751e+02,1.301754e+00,7.190558e-02,1.281760e+00,1.283708e-05,8.065775e+00,9.416611e+02,6.286756e+02,3.143438e+02,0.01774975,120,2.62304719e+00,3.11720796e+02,0.02135021
B50013,LT2_ON,2.000000,200000,0.300000,0.025000,2,1,9.165245e+01,3.004052e-01,1.936367e-02,2.938207e-01,1.283108e-05,1.612401e+01,1.832506e+02,1.195043e+02,5.975350e+01,0.01770448,120,5.18765563e-01,5.92347320e+01,0.02085332
B50016,LT2_ON,2.000000,200000,1.300000,0.025000,2,1,3.971606e+02,1.301756e+00,8.390922e-02,1.273223e+00,1.283108e-05,1.612401e+01,3.441040e+03,2.244026e+03,1.122038e+03,0.01770448,120,9.74126446e+00,1.11229663e+03,0.02085332
B50017,LT2_ON,2.500000,10000,0.300000,0.025000,2,1,1.097226e+02,3.005077e-01,1.210854e-02,2.961401e-01,1.071794e-05,6.734283e-01,2.303245e+00,3.474231e-01,1.736973e-01,0.01822165,120,1.51037007e-03,1.72186943e-01,0.02284975
B50020,LT2_ON,2.500000,10000,1.300000,0.025000,2,1,4.754645e+02,1.302200e+00,5.247033e-02,1.283274e+00,1.071794e-05,6.734283e-01,4.324983e+01,6.523835e+00,3.261650e+00,0.01822165,120,2.83613935e-02,3.23328815e+00,0.02284975
B50021,LT2_ON,2.500000,30000,0.300000,0.025000,2,1,1.097241e+02,3.005077e-01,1.273584e-02,2.959988e-01,1.071779e-05,2.020256e+00,6.952874e+00,3.116711e+00,1.558225e+00,0.01831853,120,1.36036558e-02,1.54462103e+00,0.02288597
B50024,LT2_ON,2.500000,30000,1.300000,0.025000,2,1,4.754712e+02,1.302200e+00,5.518865e-02,1.282662e+00,1.071779e-05,2.020256e+00,1.305595e+02,5.852490e+01,2.926000e+01,0.01831853,120,2.55446425e-01,2.90045504e+01,0.02288597
B50025,LT2_ON,2.500000,100000,0.300000,0.025000,2,1,1.097406e+02,3.005079e-01,1.645634e-02,2.945462e-01,1.071618e-05,6.733174e+00,5.850195e+01,3.333728e+01,1.666701e+01,0.01869727,120,1.48601575e-01,1.65184048e+01,0.02279172
B50028,LT2_ON,2.500000,100000,1.300000,0.025000,2,1,4.755426e+02,1.302201e+00,7.131081e-02,1.276367e+00,1.071618e-05,6.733174e+00,1.098537e+03,6.260001e+02,3.129693e+02,0.01869727,120,2.79040736e+00,3.10178935e+02,0.02279172
B50029,LT2_ON,2.500000,200000,0.300000,0.025000,2,1,1.097836e+02,3.005084e-01,1.920446e-02,2.921156e-01,1.071198e-05,1.346107e+01,2.150017e+02,1.190153e+02,5.950077e+01,0.01864964,120,5.50707845e-01,5.89500647e+01,0.02221334
B50032,LT2_ON,2.500000,200000,1.300000,0.025000,2,1,4.757290e+02,1.302203e+00,8.321932e-02,1.265834e+00,1.071198e-05,1.346107e+01,4.037255e+03,2.234843e+03,1.117292e+03,0.01864964,120,1.03410695e+01,1.10695121e+03,0.02221334
B50033,LT2_ON,3.000000,10000,0.300000,0.025000,2,1,1.266723e+02,3.006051e-01,1.128651e-02,2.957399e-01,9.283795e-06,5.833184e-01,2.960753e+00,3.462138e-01,1.730747e-01,0.01955587,120,1.60664969e-03,1.71468049e-01,0.02437025
