case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx_grid,grid_n,px_bessel_w,py_tanh_w,f_bx_mesh
B50080,LT2_ON,4.000000,200000,1.300000,0.025000,2,1,6.840403e+02,1.303616e+00,8.068642e-02,1.265708e+00,7.449853e-06,9.361762e+00,6.073500e+03,2.216761e+03,1.108439e+03,0.02173926,120,1.20336358e+01,1.09640539e+03,0.02599674
B50081,LT2_ON,5.000000,10000,0.300000,0.025000,2,1,1.854953e+02,3.010579e-01,9.421192e-03,2.961032e-01,6.339782e-06,3.983407e-01,5.959450e+00,3.429848e-01,1.715033e-01,0.02392169,120,1.95039214e-03,1.69552903e-01,0.02975335
B50084,LT2_ON,5.000000,10000,1.300000,0.025000,2,1,8.038131e+02,1.304584e+00,4.082516e-02,1.283114e+00,6.339782e-06,3.983407e-01,1.119052e+02,6.440493e+00,3.220451e+00,0.02392169,120,3.66240302e-02,3.18382674e+00,0.02975335
B50085,LT2_ON,5.000000,30000,0.300000,0.025000,2,1,1.854969e+02,3.010579e-01,1.017119e-02,2.959479e-01,6.339728e-06,1.195011e+00,1.428219e+01,3.077159e+00,1.538676e+00,0.02398314,120,1.75365732e-02,1.52113985e+00,0.02974752
B50088,LT2_ON,5.000000,30000,1.300000,0.025000,2,1,8.038200e+02,1.304584e+00,4.407517e-02,1.282441e+00,6.339728e-06,1.195011e+00,2.681877e+02,5.778221e+01,2.889292e+01,0.02398314,120,3.29297875e-01,2.85636261e+01,0.02974752
B50089,LT2_ON,5.000000,100000,0.300000,0.025000,2,1,1.855137e+02,3.010581e-01,1.435740e-02,2.943648e-01,6.339153e-06,3.983008e+00,1.075699e+02,3.293558e+01,1.646870e+01,0.02410224,120,1.89723741e-01,1.62789715e+01,0.02932927
B50092,LT2_ON,5.000000,100000,1.300000,0.025000,2,1,8.038929e+02,1.304585e+00,6.221541e-02,1.275581e+00,6.339153e-06,3.983008e+00,2.019923e+03,6.184569e+02,3.092455e+02,0.02410224,120,3.56259024e+00,3.05682909e+02,0.02932927
B50093,LT2_ON,5.000000,200000,0.300000,0.025000,2,1,1.855576e+02,3.010586e-01,1.728088e-02,2.917050e-01,6.337655e-06,7.964133e+00,4.010752e+02,1.176726e+02,5.883858e+01,0.02377246,120,6.98307195e-01,5.81402723e+01,0.02837913
B50096,LT2_ON,5.000000,200000,1.300000,0.025000,2,1,8.040829e+02,1.304587e+00,7.488382e-02,1.264055e+00,6.337655e-06,7.964133e+00,7.531301e+03,2.209630e+03,1.104858e+03,0.02377246,120,1.31126573e+01,1.09174511e+03,0.02837913
B50097,LT2_ON,6.000000,10000,0.300000,0.025000,2,1,2.105356e+02,3.012273e-01,9.952449e-03,2.954503e-01,5.585753e-06,3.509637e-01,7.570933e+00,3.420464e-01,1.710078e-01,0.02536573,120,2.09562162e-03,1.68912171e-01,0.03201529
B50100,LT2_ON,6.000000,10000,1.300000,0.025000,2,1,9.123211e+02,1.305318e+00,4.312728e-02,1.280285e+00,5.585753e-06,3.509637e-01,1.421653e+02,6.422872e+00,3.211146e+00,0.02536573,120,3.93511170e-02,3.17179522e+00,0.03201529
B50101,LT2_ON,6.000000,30000,0.300000,0.025000,2,1,2.105372e+02,3.012273e-01,1.070301e-02,2.952577e-01,5.585710e-06,1.052882e+00,1.744708e+01,3.068831e+00,1.534280e+00,0.02543413,120,1.88344775e-02,1.51544528e+00,0.03199494
B50104,LT2_ON,6.000000,30000,1.300000,0.025000,2,1,9.123280e+02,1.305318e+00,4.637970e-02,1.279450e+00,5.585710e-06,1.052882e+00,3.276173e+02,5.762583e+01,2.881036e+01,0.02543413,120,3.53669633e-01,2.84566947e+01,0.03199494
B50105,LT2_ON,6.000000,100000,0.300000,0.025000,2,1,2.105542e+02,3.012276e-01,1.491347e-02,2.933159e-01,5.585261e-06,3.509323e+00,1.283871e+02,3.285387e+01,1.642562e+01,0.02557268,120,2.03255988e-01,1.62223662e+01,0.03146159
B50108,LT2_ON,6.000000,100000,1.300000,0.025000,2,1,9.124014e+02,1.305319e+00,6.462505e-02,1.271036e+00,5.585261e-06,3.509323e+00,2.410825e+03,6.169227e+02,3.084367e+02,0.02557268,120,3.81669578e+00,3.04619988e+02,0.03146159
B50109,LT2_ON,6.000000,200000,0.300000,0.025000,2,1,2.105983e+02,3.012280e-01,1.784544e-02,2.901300e-01,5.584091e-06,7.017177e+00,4.798418e+02,1.174126e+02,5.870179e+01,0.02522189,120,7.46610342e-01,5.79551795e+01,0.03037650
B50112,LT2_ON,6.000000,200000,1.300000,0.025000,2,1,9.125925e+02,1.305321e+00,7.733024e-02,1.257230e+00,5.584091e-06,7.017177e+00,9.010363e+03,2.204747e+03,1.102289e+03,0.02522189,120,1.40196831e+01,1.08826948e+03,0.03037650
