freq_hz,gamma_px,r2_px,gamma_fbx,r2_fbx,n
10000,0.3604,0.9964,0.3726,0.9971,7
30000,0.3580,0.9964,0.3700,0.9971,7
100000,0.3443,0.9961,0.3558,0.9969,7
200000,0.3344,0.9959,0.3454,0.9967,7
