case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,x_mm,y_mm,bx_abs_t,by_abs_t
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,22.5000,4.875727e-02,9.553759e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,23.5000,4.681975e-02,9.628479e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,24.5000,4.799033e-02,9.664323e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,25.5000,5.045698e-02,9.680392e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,26.5000,5.636097e-02,9.678881e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,27.5000,6.220261e-02,9.636262e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,28.5000,7.354633e-02,9.558186e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,29.5000,8.978123e-02,9.471633e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,30.5000,1.137571e-01,9.379602e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,31.5000,1.363377e-01,9.238488e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,32.5000,1.725892e-01,8.858142e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,2.5000,33.5000,2.140020e-01,8.273552e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,14.5000,1.620786e-01,7.822108e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,15.5000,1.400458e-01,8.167920e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,16.5000,1.212795e-01,8.497017e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,17.5000,1.037270e-01,8.830793e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,18.5000,9.009806e-02,9.085642e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,19.5000,7.819262e-02,9.275803e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,20.5000,6.834847e-02,9.419272e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,21.5000,6.092615e-02,9.537042e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,22.5000,5.593535e-02,9.604402e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,23.5000,5.045634e-02,9.650006e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,24.5000,4.865606e-02,9.657177e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,25.5000,5.032974e-02,9.644380e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,26.5000,5.269598e-02,9.617460e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,27.5000,5.735821e-02,9.555827e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,28.5000,6.355001e-02,9.471283e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,29.5000,7.785881e-02,9.325039e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,30.5000,9.395656e-02,9.105228e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,31.5000,1.139861e-01,8.851963e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,32.5000,1.306551e-01,8.568347e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,3.5000,33.5000,1.538298e-01,8.099690e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,14.5000,2.000034e-01,8.023481e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,15.5000,1.751926e-01,8.403605e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,16.5000,1.533724e-01,8.731729e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,17.5000,1.284027e-01,8.993277e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,18.5000,1.107016e-01,9.226570e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,19.5000,9.461026e-02,9.413696e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,20.5000,8.070043e-02,9.540146e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,21.5000,6.827732e-02,9.617544e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,22.5000,5.885371e-02,9.653097e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,23.5000,5.158506e-02,9.694422e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,24.5000,4.858931e-02,9.692544e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,25.5000,4.576963e-02,9.640854e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,26.5000,4.575920e-02,9.583452e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,27.5000,4.895591e-02,9.494376e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,28.5000,5.298627e-02,9.412595e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,29.5000,6.007242e-02,9.221169e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,30.5000,6.942565e-02,8.998418e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,31.5000,8.132190e-02,8.729250e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,32.5000,9.429848e-02,8.409479e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,4.5000,33.5000,1.029856e-01,8.061523e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,14.5000,2.415862e-01,8.285241e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,15.5000,2.143420e-01,8.671538e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,16.5000,1.833274e-01,9.030433e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,17.5000,1.543363e-01,9.255512e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,18.5000,1.300773e-01,9.465214e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,19.5000,1.060893e-01,9.590797e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,20.5000,8.940695e-02,9.700193e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,21.5000,7.572257e-02,9.707960e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,22.5000,6.467950e-02,9.742416e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,23.5000,5.489175e-02,9.764352e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,24.5000,4.393468e-02,9.725075e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,25.5000,3.899924e-02,9.664605e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,26.5000,3.692960e-02,9.592237e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,27.5000,3.803580e-02,9.469692e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,28.5000,4.036596e-02,9.336906e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,29.5000,3.974827e-02,9.158930e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,30.5000,4.478984e-02,8.926196e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,31.5000,5.001364e-02,8.647186e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,32.5000,5.713599e-02,8.313637e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,5.5000,33.5000,5.961353e-02,7.945226e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,14.5000,2.873039e-01,8.643743e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,15.5000,2.528378e-01,9.024069e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,16.5000,2.150960e-01,9.340770e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,17.5000,1.739795e-01,9.579358e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,18.5000,1.411763e-01,9.697404e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,19.5000,1.159629e-01,9.796328e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,20.5000,9.808840e-02,9.851423e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,21.5000,8.384015e-02,9.846079e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,22.5000,6.730757e-02,9.853108e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,23.5000,5.125747e-02,9.896088e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,24.5000,3.418497e-02,9.810323e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,25.5000,2.989103e-02,9.737378e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,26.5000,2.435899e-02,9.623998e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,27.5000,2.200551e-02,9.485803e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,28.5000,2.142971e-02,9.344318e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,29.5000,1.913605e-02,9.143730e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,30.5000,1.765638e-02,8.895435e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,31.5000,2.146701e-02,8.622135e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,32.5000,2.065238e-02,8.274510e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,6.5000,33.5000,2.212517e-02,7.924227e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,14.5000,3.270420e-01,9.077289e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,15.5000,2.892536e-01,9.458265e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,16.5000,2.433758e-01,9.702871e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,17.5000,1.994213e-01,9.904745e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,18.5000,1.569846e-01,1.007438e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,19.5000,1.218438e-01,1.010344e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,20.5000,9.867731e-02,1.007762e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,21.5000,8.076848e-02,1.001408e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,22.5000,6.386989e-02,9.999493e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,23.5000,4.724896e-02,9.993985e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,24.5000,2.971540e-02,9.902832e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,25.5000,1.964933e-02,9.812220e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,26.5000,1.278420e-02,9.684896e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,27.5000,8.356526e-03,9.537937e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,28.5000,2.550868e-03,9.380186e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,29.5000,2.542606e-03,9.180316e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,30.5000,5.636874e-03,8.958058e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,31.5000,9.808114e-03,8.646066e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,32.5000,1.726858e-02,8.317170e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,7.5000,33.5000,1.575593e-02,7.961207e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,14.5000,3.781585e-01,9.572137e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,15.5000,3.191810e-01,9.983759e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,16.5000,2.663414e-01,1.024667e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,17.5000,2.036857e-01,1.038291e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,18.5000,1.616414e-01,1.045443e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,19.5000,1.214027e-01,1.042870e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,20.5000,9.872612e-02,1.039681e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,21.5000,7.999501e-02,1.032507e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,22.5000,5.806596e-02,1.022142e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,23.5000,3.844978e-02,1.010889e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,24.5000,2.048030e-02,1.001974e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,25.5000,7.191015e-03,9.899925e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,26.5000,8.520307e-05,9.769992e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,27.5000,9.297746e-03,9.626602e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,28.5000,1.663975e-02,9.469920e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,29.5000,2.295030e-02,9.244052e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,30.5000,2.893013e-02,9.020682e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,31.5000,3.954678e-02,8.708086e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,32.5000,5.139966e-02,8.394227e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,8.5000,33.5000,5.714631e-02,7.968914e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,14.5000,4.262871e-01,1.026711e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,15.5000,3.447727e-01,1.065655e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,16.5000,2.789478e-01,1.084113e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,17.5000,2.088269e-01,1.089267e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,18.5000,1.577717e-01,1.087614e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,19.5000,1.147563e-01,1.082890e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,20.5000,8.347115e-02,1.063921e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,21.5000,6.488160e-02,1.049297e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,22.5000,4.327444e-02,1.038669e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,23.5000,2.490977e-02,1.025380e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,24.5000,8.350785e-03,1.014030e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,25.5000,4.448291e-03,1.001367e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,26.5000,1.385665e-02,9.882648e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,27.5000,2.397892e-02,9.736018e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,28.5000,3.804454e-02,9.577972e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,29.5000,4.587353e-02,9.365649e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,30.5000,5.879792e-02,9.105515e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,31.5000,7.279304e-02,8.818539e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,32.5000,8.765372e-02,8.459196e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,9.5000,33.5000,1.033326e-01,8.009621e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,14.5000,4.818552e-01,1.112992e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,15.5000,3.783116e-01,1.154865e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,16.5000,2.772930e-01,1.167669e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,17.5000,2.061402e-01,1.143209e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,18.5000,1.421320e-01,1.137167e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,19.5000,9.956835e-02,1.115624e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,20.5000,6.507413e-02,1.095187e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,21.5000,4.044353e-02,1.077979e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,22.5000,2.697235e-02,1.056815e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,23.5000,1.012925e-02,1.041187e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,24.5000,4.888248e-03,1.026214e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,25.5000,1.628293e-02,1.012635e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,26.5000,2.652290e-02,9.990351e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,27.5000,4.244037e-02,9.818780e-01
