case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0028,LT0_OFF,2.000000,30000,0.800000,0.010000,0,0,2.442442e+02,8.010786e-01,3.241048e-02,7.921499e-01,1.283961e-05,2.420210e+00,2.382472e+01,3.622581e+00,1.811360e+00,0.000000e+00
C0029,LT0_OFF,2.000000,30000,1.000000,0.010000,0,0,3.053052e+02,1.001348e+00,4.051310e-02,9.901874e-01,1.283961e-05,2.420210e+00,3.722612e+01,5.660283e+00,2.830250e+00,0.000000e+00
C0030,LT0_OFF,2.000000,30000,1.300000,0.010000,0,0,3.968968e+02,1.301753e+00,5.266704e-02,1.287244e+00,1.283961e-05,2.420210e+00,6.291215e+01,9.565878e+00,4.783122e+00,0.000000e+00
C0031,LT0_OFF,2.500000,30000,0.100000,0.010000,0,0,3.657415e+01,1.001692e-01,4.007785e-03,9.871923e-02,1.071795e-05,2.020286e+00,5.084728e-01,5.640910e-02,2.820207e-02,0.000000e+00
C0032,LT0_OFF,2.500000,30000,0.200000,0.010000,0,0,7.314830e+01,2.003385e-01,8.015570e-03,1.974385e-01,1.071795e-05,2.020286e+00,2.033891e+00,2.256364e-01,1.128083e-01,0.000000e+00
C0033,LT0_OFF,2.500000,30000,0.400000,0.010000,0,0,1.462966e+02,4.006769e-01,1.603114e-02,3.948769e-01,1.071795e-05,2.020286e+00,8.135564e+00,9.025456e-01,4.512331e-01,0.000000e+00
C0034,LT0_OFF,2.500000,30000,0.800000,0.010000,0,0,2.925932e+02,8.013539e-01,3.206228e-02,7.897538e-01,1.071795e-05,2.020286e+00,3.254226e+01,3.610183e+00,1.804933e+00,0.000000e+00
C0035,LT0_OFF,2.500000,30000,1.000000,0.010000,0,0,3.657415e+02,1.001692e+00,4.007785e-02,9.871923e-01,1.071795e-05,2.020286e+00,5.084728e+01,5.640910e+00,2.820207e+00,0.000000e+00
C0036,LT0_OFF,2.500000,30000,1.300000,0.010000,0,0,4.754640e+02,1.302200e+00,5.210120e-02,1.283350e+00,1.071795e-05,2.020286e+00,8.593190e+01,9.533138e+00,4.766150e+00,0.000000e+00
C0037,LT0_OFF,3.000000,30000,0.100000,0.010000,0,0,4.222407e+01,1.002017e-01,3.732931e-03,9.858619e-02,9.283804e-06,1.749956e+00,6.567386e-01,5.626765e-02,2.812806e-02,0.000000e+00
